"Story","Title","Result","Date","Stability","Duration (s)"
"Create product data driven test","Data Driven test for adding multiple products to the application","SUCCESS","2023-01-10T22:04:46.247Z[Europe/London]","0.0","113.63"
"Create store data driven test","Data Driven test for adding multiple products to the application","SUCCESS","2023-01-10T22:04:50.087Z[Europe/London]","0.0","12.02"
"Product CURD test","This will create new product","SUCCESS","2023-01-10T22:04:50.350Z[Europe/London]","0.0","0.78"
"Product CURD test","Verify if the product was added to application","SUCCESS","2023-01-10T22:04:51.134Z[Europe/London]","0.0","0.11"
"Product CURD test","This will update product","SUCCESS","2023-01-10T22:04:51.243Z[Europe/London]","0.0","0.09"
"Product CURD test","This will delete product","SUCCESS","2023-01-10T22:04:51.338Z[Europe/London]","0.0","0.11"
"Store CURD test","This will create new store","SUCCESS","2023-01-10T22:04:51.587Z[Europe/London]","0.0","0.09"
"Store CURD test","Verify if the store has been added to application","SUCCESS","2023-01-10T22:04:51.675Z[Europe/London]","0.0","0.04"
"Store CURD test","This will update store information","SUCCESS","2023-01-10T22:04:51.711Z[Europe/London]","0.0","0.09"
"Store CURD test","This will delete Store","SUCCESS","2023-01-10T22:04:51.804Z[Europe/London]","0.0","0.09"
"Tags test","Provide a status code when incorrect HTTP method is used to across resource","SUCCESS","2023-01-10T22:04:52.055Z[Europe/London]","0.0","0.13"
"Tags test","Provide a status code when incorrect HTTP method is used to across resource","ERROR","2023-01-10T22:04:52.185Z[Europe/London]","0.0","0.08"
