"Story","Title","Result","Date","Stability","Duration (s)"
"Create product data driven test","Data Driven test for adding multiple products to the application","SUCCESS","2023-01-10T22:04:46.247Z[Europe/London]","0.0","113.63"
"Create store data driven test","Data Driven test for adding multiple products to the application","SUCCESS","2023-01-10T22:04:50.087Z[Europe/London]","0.0","12.02"
"Product CURD test","This will create new product","SUCCESS","2023-01-10T22:04:50.350Z[Europe/London]","0.0","0.78"
"Product CURD test","Verify if the product was added to application","SUCCESS","2023-01-10T22:04:51.134Z[Europe/London]","0.0","0.11"
"Product CURD test","This will update product","SUCCESS","2023-01-10T22:04:51.243Z[Europe/London]","0.0","0.09"
"Product CURD test","This will delete product","SUCCESS","2023-01-10T22:04:51.338Z[Europe/London]","0.0","0.11"
"Store CURD test","This will create new store","SUCCESS","2023-01-10T22:04:51.587Z[Europe/London]","0.0","0.09"
"Store CURD test","Verify if the store has been added to application","SUCCESS","2023-01-10T22:04:51.675Z[Europe/London]","0.0","0.04"
"Store CURD test","This will update store information","SUCCESS","2023-01-10T22:04:51.711Z[Europe/London]","0.0","0.09"
"Store CURD test","This will delete Store","SUCCESS","2023-01-10T22:04:51.804Z[Europe/London]","0.0","0.09"
"Tags test","Provide a status code when incorrect HTTP method is used to across resource","SUCCESS","2023-01-10T22:04:52.055Z[Europe/London]","0.0","0.13"
"Tags test","Provide a status code when incorrect HTTP method is used to across resource","ERROR","2023-01-10T22:04:52.185Z[Europe/London]","0.0","0.08"
"Testing different request on product section of Bestbuy","Creating new product","SUCCESS","2023-01-10T22:04:52.635Z[Europe/London]","0.0","0.78"
"Testing different request on product section of Bestbuy","Verify product is created by getting product info by given Id","SUCCESS","2023-01-10T22:04:53.643Z[Europe/London]","0.0","0.04"
"Testing different request on product section of Bestbuy","Updating newly added product detail","SUCCESS","2023-01-10T22:04:53.725Z[Europe/London]","0.0","0.06"
"Testing different request on product section of Bestbuy","Deleting store by given Id","SUCCESS","2023-01-10T22:04:53.881Z[Europe/London]","0.0","0.09"
"Testing different request on product section of Bestbuy","CURD TEST","SUCCESS","2023-01-10T22:04:54.043Z[Europe/London]","0.0","0.28"
"Testing different request on store section of Bestbuy","Creating store data","SUCCESS","2023-01-10T22:04:54.440Z[Europe/London]","0.0","0.09"
"Testing different request on store section of Bestbuy","Verify store is created by getting Store info by given Id","SUCCESS","2023-01-10T22:04:54.637Z[Europe/London]","0.0","0.07"
"Testing different request on store section of Bestbuy","Updating newly added store detail","SUCCESS","2023-01-10T22:04:54.819Z[Europe/London]","0.0","0.05"
"Testing different request on store section of Bestbuy","Deleting store by given Id","SUCCESS","2023-01-10T22:04:55.046Z[Europe/London]","0.0","0.08"
"Testing different request on store section of Bestbuy","CURD TEST","SUCCESS","2023-01-10T22:04:55.273Z[Europe/London]","0.0","0.2"
